         5626494 function calls (5602257 primitive calls) in 17.649 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:1183(_fixupParents)
      435    0.001    0.000    0.002    0.000 __init__.py:12(escape)
        1    0.000    0.000    0.000    0.000 __init__.py:1224(Logger)
        2    0.000    0.000    0.000    0.000 __init__.py:1239(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1251(setLevel)
       41    0.000    0.000    0.009    0.000 __init__.py:1269(info)
       41    0.000    0.000    0.000    0.000 __init__.py:1347(findCaller)
       41    0.000    0.000    0.001    0.000 __init__.py:1377(makeRecord)
       41    0.000    0.000    0.009    0.000 __init__.py:1392(_log)
       41    0.000    0.000    0.007    0.000 __init__.py:1417(handle)
        1    0.000    0.000    0.000    0.000 __init__.py:1427(addHandler)
       41    0.000    0.000    0.007    0.000 __init__.py:1471(callHandlers)
       41    0.000    0.000    0.000    0.000 __init__.py:149(<lambda>)
       41    0.000    0.000    0.000    0.000 __init__.py:1501(getEffectiveLevel)
       41    0.000    0.000    0.000    0.000 __init__.py:1515(isEnabledFor)
        1    0.000    0.000    0.000    0.000 __init__.py:1542(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1548(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1556(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:1774(getLogger)
        5    0.000    0.000    0.000    0.000 __init__.py:182(_checkLevel)
       40    0.000    0.000    0.001    0.000 __init__.py:182(dumps)
        1    0.000    0.000    0.000    0.000 __init__.py:1902(NullHandler)
        4    0.000    0.000    0.000    0.000 __init__.py:211(_acquireLock)
        4    0.000    0.000    0.000    0.000 __init__.py:220(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:231(LogRecord)
        1    0.000    0.000    0.001    0.001 __init__.py:24(<module>)
       41    0.001    0.000    0.001    0.000 __init__.py:243(__init__)
       50    0.000    0.000    0.001    0.000 __init__.py:271(loads)
       41    0.000    0.000    0.000    0.000 __init__.py:321(getMessage)
        1    0.000    0.000    0.000    0.000 __init__.py:370(PercentStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:376(__init__)
       41    0.000    0.000    0.000    0.000 __init__.py:379(usesTime)
       41    0.000    0.000    0.000    0.000 __init__.py:382(format)
        1    0.000    0.000    0.000    0.000 __init__.py:385(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:394(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:418(Formatter)
        2    0.000    0.000    0.000    0.000 __init__.py:42(normalize_encoding)
        1    0.000    0.000    0.000    0.000 __init__.py:462(__init__)
       41    0.000    0.000    0.000    0.000 __init__.py:532(usesTime)
       41    0.000    0.000    0.000    0.000 __init__.py:538(formatMessage)
       41    0.000    0.000    0.000    0.000 __init__.py:554(format)
        1    0.000    0.000    0.000    0.000 __init__.py:591(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:633(Filter)
        1    0.000    0.000    0.000    0.000 __init__.py:670(Filterer)
        4    0.000    0.000    0.000    0.000 __init__.py:675(__init__)
        2    0.000    0.000    0.002    0.001 __init__.py:69(search_function)
       82    0.000    0.000    0.000    0.000 __init__.py:695(filter)
      442    0.000    0.000    0.001    0.000 __init__.py:70(__new__)
